iter	Passed	Remaining
0	119	119425
1	135	67644
2	154	51371
3	225	56192
4	278	55475
5	297	49278
6	356	50636
7	399	49492
8	417	45989
9	515	51071
10	573	51556
11	623	51367
12	728	55286
13	862	60740
14	891	58566
15	908	55863
16	927	53636
17	944	51503
18	1025	52926
19	1046	51291
20	1171	54619
21	1199	53334
22	1391	59091
23	1410	57366
24	1582	61726
25	1610	60336
26	1749	63038
27	1780	61798
28	1914	64103
29	1931	62446
30	2065	64566
31	2092	63311
32	2242	65702
33	2281	64811
34	2408	66404
35	2432	65131
36	2449	63745
37	2620	66333
38	2637	64990
39	2778	66684
40	2806	65642
41	2992	68261
42	3020	67221
43	3220	69981
44	3237	68709
45	3252	67454
46	3434	69630
47	3462	68673
48	3603	69928
49	3620	68790
50	3751	69814
51	3788	69066
52	3924	70130
53	3942	69058
54	3955	67968
55	4036	68043
56	4052	67045
57	4203	68275
58	4301	68608
59	4428	69372
60	4444	68411
61	4587	69397
62	4602	68456
63	4629	67707
64	4758	68444
65	4777	67609
66	4911	68399
67	4930	67581
68	5324	71848
69	5413	71921
70	5557	72715
71	5588	72031
72	5669	71996
73	5689	71199
74	5821	71799
75	5855	71195
76	5877	70454
77	5983	70725
78	6000	69949
79	6016	69195
80	6141	69678
81	6163	69000
82	6168	68151
83	6238	68029
84	6256	67347
85	6383	67848
86	6405	67218
87	6498	67343
88	6519	66731
89	6621	66947
90	6645	66386
91	6666	65793
92	6693	65276
93	6715	64727
94	6788	64666
95	6813	64162
96	6916	64390
97	6933	63820
98	7091	64537
99	7109	63984
100	7245	64496
101	7272	64022
102	7446	64848
103	7471	64373
104	7557	64417
105	7608	64166
106	7622	63617
107	7761	64103
108	7780	63599
109	7872	63699
110	7900	63278
111	8003	63459
112	8030	63032
113	8047	62547
114	8124	62523
115	8143	62057
116	8261	62352
117	8287	61946
118	8309	61517
119	8346	61207
120	8364	60766
121	8500	61173
122	8529	60812
123	8649	61102
124	8678	60751
125	8781	60913
126	8824	60661
127	8854	60322
128	8941	60374
129	8972	60046
130	9068	60156
131	9086	59748
132	9171	59787
133	9187	59373
134	9199	58943
135	9284	58985
136	9335	58805
137	9411	58789
138	9441	58481
139	9512	58435
140	9532	58072
141	9604	58030
142	9736	58353
143	9775	58109
144	9865	58173
145	9881	57800
146	9964	57818
147	9979	57451
148	9995	57087
149	10080	57123
150	10123	56922
151	10135	56544
152	10233	56652
153	10246	56291
154	10362	56494
155	10419	56372
156	10537	56582
157	10557	56262
158	10624	56196
159	10647	55899
160	10657	55537
161	10722	55464
162	10740	55152
163	10818	55147
164	10833	54825
165	10855	54540
166	10931	54524
167	10953	54247
168	11001	54096
169	11017	53791
170	11099	53807
171	11117	53520
172	11198	53533
173	11243	53375
174	11322	53379
175	11336	53075
176	11351	52783
177	11417	52726
178	11440	52471
179	11497	52379
180	11524	52146
181	11594	52110
182	11631	51927
183	11753	52123
184	11838	52153
185	11953	52313
186	11969	52040
187	11987	51773
188	12060	51751
189	12082	51508
190	12162	51515
191	12179	51255
192	12255	51242
193	12276	51004
194	12309	50816
195	12337	50610
196	12366	50407
197	12465	50491
198	12491	50279
199	12582	50329
200	12599	50085
201	12750	50372
202	12767	50125
203	12786	49894
204	12875	49932
205	12892	49694
206	12966	49674
207	12994	49479
208	13045	49372
209	13078	49201
210	13138	49128
211	13151	48885
212	13189	48733
213	13263	48716
214	13277	48478
215	13389	48599
216	13429	48457
217	13446	48233
218	13517	48207
219	13532	47977
220	13726	48384
221	13737	48141
222	13760	47947
223	13861	48021
224	13877	47801
225	13982	47886
226	14009	47707
227	14191	48050
228	14210	47844
229	14225	47625
230	14333	47715
231	14365	47555
232	14379	47335
233	14509	47495
234	14582	47471
235	14603	47277
236	14620	47067
237	14683	47012
238	14720	46870
239	14817	46922
240	14833	46714
241	14883	46619
242	14914	46461
243	14978	46407
244	14998	46221
245	15099	46279
246	15113	46074
247	15127	45870
248	15243	45974
249	15303	45909
250	15445	46091
251	15464	45902
252	15540	45885
253	15555	45685
254	15618	45630
255	15652	45489
256	15694	45373
257	15795	45426
258	15819	45260
259	15953	45406
260	15987	45266
261	16113	45387
262	16142	45235
263	16289	45413
264	16303	45218
265	16363	45152
266	16378	44963
267	16395	44781
268	16466	44747
269	16492	44589
270	16599	44653
271	16618	44479
272	16696	44462
273	16719	44299
274	16768	44206
275	16786	44033
276	16822	43908
277	16923	43952
278	16939	43775
279	17008	43736
280	17079	43702
281	17401	44306
282	17419	44132
283	17877	45070
284	18392	46143
285	18438	46032
286	19758	49086
287	19793	48932
288	20464	50348
289	21363	52304
290	21393	52122
291	21613	52405
292	21681	52317
293	21980	52783
294	22027	52641
295	22170	52729
296	22185	52513
297	22197	52290
298	22294	52267
299	22316	52072
300	22439	52110
301	22477	51950
302	22732	52293
303	22764	52117
304	22863	52097
305	22880	51892
306	22970	51853
307	22988	51649
308	23061	51571
309	23080	51372
310	23202	51403
311	24088	53118
312	24132	52967
313	25275	55220
314	25321	55063
315	25671	55568
316	25728	55433
317	25744	55212
318	25930	55355
319	25946	55135
320	26069	55143
321	26132	55025
322	26648	55853
323	26733	55778
324	27725	57584
325	27775	57425
326	28994	59673
327	29072	59563
328	30197	61587
329	30266	61450
330	31077	62812
331	31661	63703
332	31764	63624
333	32305	64418
334	32343	64205
335	32604	64432
336	33395	65699
337	33443	65501
338	34280	66842
339	34301	66584
340	34803	67259
341	34830	67013
342	35064	67165
343	35124	66982
344	35147	66729
345	35179	66494
346	35197	66236
347	35523	66556
348	35576	66361
349	36232	67289
350	36310	67137
351	36591	67361
352	36614	67110
353	37132	67762
354	37668	68439
355	38733	70069
356	39872	71815
357	40623	72850
358	42062	75102
359	42115	74871
360	43166	76408
361	45919	80929
362	45957	80647
363	48279	84356
364	48330	84082
365	48964	84818
366	48998	84511
367	49626	85228
368	49658	84916
369	50632	86211
370	51009	86482
371	51057	86193
372	51091	85883
373	52040	87105
374	52661	87768
375	52739	87524
376	53624	88615
377	53718	88393
378	55949	91674
379	56046	91444
380	58668	95317
381	60636	98098
382	60672	97740
383	60720	97405
384	60765	97067
385	61218	97378
386	61261	97036
387	61279	96657
388	61331	96333
389	61366	95983
390	61718	96129
391	61767	95802
392	62028	95805
393	62118	95542
394	62754	96117
395	62826	95826
396	63463	96394
397	63563	96144
398	64218	96729
399	64318	96477
400	64963	97040
401	66335	98678
402	66396	98358
403	67066	98940
404	67173	98686
405	67855	99276
406	68136	99275
407	68758	99766
408	68858	99499
409	69597	100152
410	70128	100501
411	70155	100124
412	70296	99912
413	70354	99584
414	70380	99210
415	70921	99562
416	70960	99209
417	71395	99407
418	71983	99815
419	72065	99518
420	72765	100073
421	72897	99845
422	73509	100271
423	73575	99951
424	74247	100451
425	74287	100096
426	75007	100654
427	75059	100312
428	76689	102073
429	76733	101716
430	77965	102929
431	78045	102615
432	79455	104044
433	79656	103884
434	81378	105698
435	81425	105330
436	82529	106324
437	82560	105933
438	83251	106387
439	83385	106126
440	83446	105774
441	83513	105431
442	83648	105174
443	83707	104822
444	84365	105219
445	84411	104852
446	85230	105442
447	85296	105097
448	85431	104839
449	85489	104487
450	85536	104123
451	86288	104615
452	86348	104266
453	86839	104436
454	86893	104081
455	87331	104184
456	87528	103999
457	88000	104140
458	88086	103822
459	88751	104186
460	89125	104204
461	89146	103811
462	89166	103417
463	89588	103490
464	89615	103105
465	89926	103048
466	89945	102657
467	90587	102975
468	90636	102618
469	90665	102239
470	91137	102360
471	91477	102331
472	91793	102272
473	92327	102456
474	92394	102120
475	93682	103128
476	93794	102839
477	94447	103141
478	94547	102838
479	94884	102791
480	94947	102448
481	95488	102620
482	95556	102283
483	96048	102399
484	96130	102076
485	96459	102016
486	96511	101663
487	96902	101668
488	96963	101325
489	97243	101213
490	97298	100865
491	97525	100696
492	97541	100311
493	97829	100205
494	97884	99861
495	98227	99811
496	98268	99455
497	98723	99516
498	98791	99187
499	99242	99242
500	99337	98941
501	99764	98969
502	99799	98608
503	100418	98824
504	100481	98491
505	100977	98582
506	100995	98206
507	101483	98287
508	101668	98073
509	102241	98232
510	102731	98309
511	102772	97955
512	103186	97956
513	103234	97610
514	103485	97457
515	103538	97117
516	104537	97662
517	104712	97435
518	105457	97735
